album_name,number_of_artists,artist_followers_total,artist_followers_average,artist_popularity,type,release_date,release_precision,restrictions,total_tracks,total_length_min,avg_popularity,max_popularity,number_of_collabs,Max_popularity_collab,Avg_popularity_collab,number_of_markets,US_market,CA_market,BR_market,CN_market,DE_market,ES_market,SA_market,UK_market,RU_market,MX_markets
The College Dropout,1,18592658,18592658.0,90.0,album,2004-02-10,day,False,21,66,57.333333333333336,79,13,82,3.230769230769231,183,True,True,True,False,True,True,True,False,False,True
Certified Lover Boy,1,68444543,68444543.0,96.0,album,2021-09-03,day,False,21,75,71.38095238095238,84,16,90,5.0625,183,True,True,True,False,True,True,True,False,False,True
Curtain Call: The Hits (Deluxe Edition),1,61179621,61179621.0,90.0,compilation,2005-12-06,day,False,24,98,52.16666666666668,76,7,83,11.714285714285714,183,True,True,True,False,True,True,True,False,False,True
The Documentary,1,4250522,4250522.0,72.0,album,2005,year,False,18,62,49.33333333333334,82,11,90,6.2727272727272725,182,True,True,True,False,True,True,True,False,False,True
Mr. Morale & The Big Steppers,1,21867402,21867402.0,87.0,album,2022-05-13,day,False,19,68,70.73684210526315,82,11,81,4.363636363636363,182,True,True,True,False,True,True,True,False,False,True
Under Pressure (Deluxe),1,5804618,5804618.0,75.0,album,2014-10-21,day,False,15,61,52.26666666666665,63,2,77,38.5,183,True,True,True,False,True,True,True,False,False,True
It Was Written,1,3016464,3016464.0,71.0,album,1996-07-02,day,False,14,51,49.42857142857143,69,9,78,7.777777777777778,183,True,True,True,False,True,True,True,False,False,True
Dark Sky Paradise,1,10151600,10151600.0,77.0,album,2015-02-24,day,False,12,44,50.75000000000001,74,9,96,8.444444444444445,181,True,True,True,False,False,True,True,False,False,True
Ambition For Cash,1,1358074,1358074.0,72.0,single,2021-10-01,day,False,1,2,70.0,70,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
No Limit Top Dogg,1,8866742,8866742.0,82.0,album,1999-01-01,day,False,21,66,33.14285714285714,62,19,78,1.631578947368421,183,True,True,True,False,True,True,True,False,False,True
Mamacita (feat. Rich Homie Quan & Young Thug),1,21283824,21283824.0,87.0,single,2014-08-18,day,False,1,4,64.0,64,2,82,41.0,183,True,True,True,False,True,True,True,False,False,True
Merry Go Round,1,183045,183045.0,51.0,album,2001-01-01,day,False,15,51,25.066666666666663,58,4,42,3.0,67,True,True,True,False,True,True,False,False,False,True
Oxymoron (Deluxe),1,4296026,4296026.0,71.0,album,2014-01-01,day,False,15,61,50.199999999999996,76,9,87,5.111111111111111,180,True,True,True,False,True,True,True,False,False,True
In A Minute,1,12002720,12002720.0,89.0,single,2022-04-07,day,False,1,3,74.0,74,0,0,0.0,182,True,True,True,False,True,True,True,False,False,True
Nothing Was The Same (Deluxe),1,68444543,68444543.0,96.0,album,2013-01-01,day,False,16,64,57.25,73,7,82,11.0,176,False,True,True,False,True,True,True,False,False,True
