id;song;artist;duration_ms;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo
;Oops!...I Did It Again;Britney Spears;211160;0.751;0.834;1;-5.444;0;0.0437;0.3;1.77E-05;0.355;0.894;95.053
;All The Small Things;blink-182;167066;0.434;0.897;0;-4.918;1;0.0488;0.0103;0;0.612;0.684;148.726
;Breathe;Faith Hill;250546;0.529;0.496;7;-9.007;1;0.029;0.173;0;0.251;0.278;136.859
;It's My Life;Bon Jovi;224493;0.551;0.913;0;-4.063;0;0.0466;0.0263;1.35E-05;0.347;0.544;119.992
;Bye Bye Bye;*NSYNC;200560;0.614;0.928;8;-4.806;0;0.0516;0.0408;0.00104;0.0845;0.879;172.656
;Thong Song;Sisqo;253733;0.706;0.888;2;-6.959;1;0.0654;0.119;9.64E-05;0.07;0.714;121.549
;The Real Slim Shady;Eminem;284200;0.949;0.661;5;-4.244;0;0.0572;0.0302;0;0.0454;0.76;104.504
;Rock DJ;Robbie Williams;258560;0.708;0.772;7;-4.264;1;0.0322;0.0267;0;0.467;0.861;103.035
;Say My Name;Destiny's Child;271333;0.713;0.678;5;-3.525;0;0.102;0.273;0;0.149;0.734;138.009
;Lady - Hear Me Tonight;Modjo;307153;0.72;0.808;6;-5.627;1;0.0379;0.00793;0.0293;0.0634;0.869;126.041
;L'Amour Toujours;Gigi D'Agostino;238759;0.617;0.728;7;-7.932;1;0.0292;0.0328;0.0482;0.36;0.808;139.066
;Move Your Body - Gabry Ponte Original Radio Edit;Eiffel 65;268863;0.745;0.958;7;-9.664;1;0.0287;0.0813;0.324;0.533;0.96;129.962
;Freestyler;Bomfunk MC's;306333;0.822;0.922;11;-5.798;0;0.0989;0.0291;0.325;0.252;0.568;163.826
;Desert Rose;Sting;285960;0.586;0.659;0;-7.92;0;0.0304;0.011;0;0.106;0.147;111.989
;Never Be The Same Again;Melanie C;294200;0.689;0.685;3;-5.153;1;0.0478;0.0921;0;0.119;0.398;160.067
;Try Again;Aaliyah;284000;0.797;0.622;6;-5.642;0;0.29;0.0807;0;0.0841;0.731;93.02
;I'm Outta Love - Radio Edit;Anastacia;245400;0.761;0.716;10;-5.8;0;0.056;0.396;0;0.0771;0.649;119.41
;Better Off Alone;Alice Deejay;214883;0.671;0.88;8;-6.149;0;0.0552;0.00181;0.691;0.285;0.782;136.953
;The Riddle;Gigi D'Agostino;285426;0.74;0.876;6;-6.87;0;0.0369;0.0173;0.00152;0.0785;0.825;127.002
;The Next Episode;Dr. Dre;161506;0.922;0.909;10;-2.429;0;0.27;0.0281;0;0.0856;0.309;95.295
;In the End;Linkin Park;216880;0.556;0.864;3;-5.87;0;0.0584;0.00958;0;0.209;0.4;105.143
;Sexbomb;Tom Jones;211893;0.801;0.876;8;-3.94;0;0.0446;0.144;1.38E-05;0.104;0.932;122.979
;It Feels So Good;Sonique;240866;0.634;0.677;5;-7.278;0;0.0304;0.0117;0.00103;0.126;0.558;135.012
;Cold as Ice;M.O.P.;244466;0.656;0.88;11;-5.425;0;0.143;0.0421;0;0.294;0.758;85.565
;I Turn To You;Melanie C;352173;0.522;0.803;1;-5.825;1;0.0327;0.00117;0.00167;0.31;0.0783;135.205
;Take A Look Around;Limp Bizkit;321040;0.425;0.852;11;-5.607;1;0.046;0.0175;0.306;0.0935;0.512;101.968
;Sandstorm;Darude;225493;0.528;0.965;11;-7.984;0;0.0465;0.141;0.985;0.0797;0.587;136.065
;What'chu Like (feat. Tyrese);Da Brat;221160;0.879;0.681;10;-8.951;0;0.24;0.017;0;0.0669;0.817;99.974
;The Time Is Now;Moloko;318280;0.682;0.743;9;-10.644;0;0.165;0.35;0.000129;0.277;0.546;127.962
;Don't Give Up;Chicane;210786;0.644;0.72;10;-9.635;0;0.0419;0.00145;0.504;0.0839;0.53;132.017
;Party Up;DMX;268866;0.51;0.931;11;-3.302;1;0.347;0.0738;0;0.5;0.53;201.936
;Dance with Me;Debelah Morgan;220106;0.85;0.674;7;-7.981;0;0.0373;0.309;0.000645;0.0356;0.74;115.005
;Music;Madonna;225973;0.736;0.802;7;-8.527;1;0.0663;0.00149;0.0876;0.14;0.871;119.854
;No More;Ruff Endz;242560;0.839;0.641;10;-5.669;0;0.0858;0.0324;4.56E-06;0.0602;0.927;97.004
;Born to Make You Happy;Britney Spears;243533;0.633;0.922;11;-4.842;0;0.0454;0.116;0.000465;0.071;0.686;84.11
;Get It On Tonite;Montell Jordan;276266;0.813;0.491;10;-9.923;0;0.077;0.241;4.61E-05;0.0817;0.868;99.008
;Spinning Around;Kylie Minogue;207866;0.761;0.662;6;-7.645;0;0.0548;0.292;6.19E-05;0.0956;0.631;120.043
;Big Pimpin';JAY-Z;283066;0.88;0.814;11;-6.307;0;0.14;0.168;0.00672;0.0584;0.942;138.083
;I Need You;LeAnn Rimes;229826;0.478;0.736;7;-7.124;1;0.0367;0.02;9.58E-05;0.118;0.564;144.705
;Separated;Avant;255600;0.798;0.48;0;-5.564;1;0.0276;0.247;0;0.237;0.643;108.241
;Be With You;Enrique Iglesias;219360;0.683;0.866;1;-5.436;0;0.0329;0.0395;0.00161;0.0483;0.542;121.996
