Id;song;artist;duration_ms;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo
;Mask Off;Future;204600;833;434;2;-8.795;1;431;0.0102;0.0219;165;286;150.062
;Redbone;Childish Gambino;326933;743;359;1;-10.401;1;0.0794;199;0.00611;137;588;160.083
;Xanny Family;Future;185707;838;412;2;-7.148;1;289;0.0344;0.000234;159;173;75.044
;Master Of None;Beach House;199413;494;338;5;-15.236;1;0.0261;604;0.51;0.0922;0.23;86.468
;Parallel Lines;Junior Boys;392893;678;561;5;-11.648;0;0.0694;0.18;512;439;904;174.004
;Sneakin’;Drake;251333;804;0.56;8;-6.682;1;185;0.00479;0.0;164;264;85.023
;Childs Play;Drake;241400;739;472;1;-11.204;1;156;0.0145;7.27e-06;207;308;80.03
;Gyöngyhajú lány;Omega;349667;266;348;10;-11.609;0;0.0371;0.0202;664;0.16;393;144.154
;I've Seen Footage;Death Grips;202853;603;944;11;-3.626;0;347;0.0481;0.0;342;398;130.035
;Digital Animal;Honey Claws;226840;836;603;7;-7.792;1;237;0.00208;0.0;571;386;99.994
;Subways - In Flagranti Extended Edit;The Avalanches;358187;525;855;5;-7.372;0;0.0548;0.0572;0.0143;649;524;111.951
;Donme Dolap - Baris K Edit;Modern Folk Üçlüsü;324880;753;748;10;-8.62;1;0.0494;0.0915;0.00348;212;642;104.322
;Cemalim;Erkin Koray;356973;603;434;0;-11.062;1;0.0342;253;0.0619;108;381;127.681
;One Night;Lil Yachty;243270;762;476;0;-12.686;1;114;366;0.0;103;367;130.007
;Oh lala;PNL;247288;662;603;9;-8.317;0;0.0793;0.44;0.0;0.0972;351;125.011
;Char;Crystal Castles;188333;637;832;6;-6.637;1;163;19;0.0563;316;317;99.988
;World In Motion;New Order;270827;603;955;1;-4.111;1;0.0458;0.0239;0.0451;119;773;123.922
;One Nation Under a Groove;Funkadelic;447907;789;659;4;-12.654;0;0.0429;233;0.00049;184;842;122.415
;Bouncin;Chief Keef;195429;713;611;1;-6.702;0;241;314;0.0;117;783;140.061
;C O O L - Radio Edit;Le Youth;214347;735;759;1;-6.914;0;0.0449;0.0242;185;0.0966;763;109.982
;Percolator (Jamie Jones Vault Mix) - mixed;Cajmere;249253;854;719;10;-9.335;0;0.0655;0.000702;308;428;471;128.049
;House of Jealous Lovers;The Rapture;307680;747;0.74;1;-4.134;1;0.0323;0.00024;369;0.0995;0.77;130.031
;Imma Ride;Young Thug;287086;854;401;9;-8.553;1;395;118;0.0;527;441;139.922
;Girlfriend;Ty Segall;132760;224;925;11;-1.71;0;0.0834;0.000596;1.35e-06;0.0663;364;138.022
;If I Gave You My Love;Myron & E;203400;512;564;10;-5.892;1;0.0316;279;1.54e-05;133;401;94.498
;This Ready Flesh;TR/ST;205160;781;795;7;-6.758;1;36;0.00219;269;0.0673;795;109.977
;Lose My Mind;A-Trak;199500;411;684;11;-6.889;0;383;341;1.42e-06;198;598;110.016
