id;song;artist;duration_ms;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;popularity
6f2c4a9lNx8aowZJngv7cJ;No Regrets;James Reeder;225696;0.53;0.77;4;-6.633;0;0.0389;284;501;744;623;120.144;2
3fTs52jsDzSuVLsifxNKO8;Wild Life;James Reeder;158093;565;0.73;1;-6.063;1;73;365;0.0;237;511;130.026;2
6NPafqavrv0icaIHMQnXDy;Fangs;James Reeder;167262;427;546;4;-8.727;1;0.0849;539;0.0152;368;435;78.345;2
3vGmhxveURgmlZStvo0uc1;Afterburner;James Reeder;236832;421;531;7;-5.516;1;0.0262;706;0.000208;0.11;383;85.08;2
4O2qRbfCHzMMgfbw9DBdGf;Hellfire Rising;James Reeder;239400;537;804;8;-7.378;0;157;379;0.000489;323;543;139.95;2
1Tu9d0uA2ipK3s8EddNfl9;Hurricane;James Reeder;194560;0.71;621;9;-7.879;0;0.0329;405;0.0019;103;546;125.985;2
5IR8f7pzaGn6k7TJ6A7bNk;Trapdoor;James Reeder;195288;419;821;11;-5.768;0;0.0431;0.0137;0.00365;127;343;80.031;2
6iz9ZfQ9YIHRXZMuT6vv3R;Demon;James Reeder;211043;565;624;1;-5.718;1;0.0351;0.00442;221;108;655;123.927;2
4oUd60VyrDAM26LKxNe3NG;Rusty Barracuda;James Reeder;182184;547;0.56;0;-7.187;1;51;551;179;137;354;169.878;2
4sCYHI5weMJM8STfL0yjUg;Night on Fire;James Reeder;120936;533;785;5;-5.466;1;0.0481;591;0.0;162;521;89.826;2
3R8geaRy40N54AklO7cAfY;Kentucky Banshee;James Reeder;206544;482;369;2;-7.637;0;0.0412;0.75;0.00653;105;246;74.396;2
5RKVavCDNqnh89DqiLSmJ3;The Devil in a Long Black Lincoln;James Reeder;164208;589;659;2;-7.491;1;0.0516;104;0.00919;163;0.47;140.172;2
5EWiFVuAMw0JxWSaaaVUmz;Satania;James Reeder;74064;573;816;0;-7.263;1;0.0419;0.00347;814;244;608;119.983;2
51wsg9dzbJWbq16FVnt3tL;Stupid Girl;Cold;188960;441;855;0;-5.049;1;0.0602;0.00012;0.00014;142;201;138.777;13
5DfAEpcoV9jlKAD3z8gf04;Stupid Girl - Life So Long Mix;Cold;291147;0.46;548;5;-8.914;1;35;185;0.0865;223;126;138.73;5
5BoLSxmENQsVzfHz97D0YN;Essence;TG;166520;708;499;10;-10.249;1;0.0549;0.00461;0.0873;106;377;95.986;14
2X2pntOfT48gNR8viwCDXe;Gravity's Rainbow - Soulwax Remix;Klaxons;382933;0.67;933;11;-6.248;0;0.0674;0.0154;236;513;876;131.984;14
4SCzzuAGBgUmE1nAlKRYYU;How You Do It;TG;183972;888;568;1;-11.802;0;292;0.0241;0.0;134;572;140.03;14
6wxcC3IA2HPSOL5ROJWx9k;Pa' Gozar;Gilles Peterson's Havana Cultura Band;253893;653;0.73;2;-10.229;0;0.0567;793;904;325;898;118.139;3
4Bpy9zHl40xqnDW8B0M3G7;Arroz Con Pollo;Gilles Peterson's Havana Cultura Band;214987;729;751;5;-8.231;1;0.0416;548;345;0.0804;824;116.063;5
5vJoe1fT5T00rMdIf7KvPx;Roforofo Fight (feat. Mayra Caridad Valdés);Gilles Peterson's Havana Cultura Band;365667;717;949;5;-7.642;0;0.0625;186;716;158;881;125.001;3
3kkBUjYnja1xylMS6OwgSv;Ipacuba (feat. Danay Suárez, Francis Del Río, Vince Vella & Julio Padrón);Gilles Peterson's Havana Cultura Band;394253;646;745;7;-6.919;1;153;103;0.0849;143;689;120.037;2
0WMgv9HgjjLqyrti5Z8thl;La Revolución Del Cuerpo, Pt. 1 (feat. Ogguere, Danay Suárez & Obsesión);Gilles Peterson's Havana Cultura Band;272773;596;664;6;-8.661;1;258;0.28;0.000979;0.0727;661;125.907;0
3urq6EQ8Hp9ie32SI4F1H6;La Revolución Del Cuerpo, Pt. 2 (feat. Roberto Fonseca);Gilles Peterson's Havana Cultura Band;434507;907;0.73;1;-11.24;0;0.0737;32;0.0103;0.0639;835;129.295;0
1As7GM11DM4AGv1vJM3uy3;Lágrimas De Soledad (No Existen Palabras) [feat. Danay Suárez];Gilles Peterson's Havana Cultura Band;260733;682;588;1;-8.829;1;0.0635;961;0.000147;0.0997;696;149.617;6
6NipYC3Pf1dA0gdqZLU9tJ;Think Twice (feat. Danay Suarez & Obsesión);Gilles Peterson's Havana Cultura Band;374280;534;491;4;-9.524;0;0.0626;609;0.0366;0.0974;722;141.887;3
0lIJqwx9KJRUVCQr5941Kg;Chekere Son (feat. Mayra Caridad Valdés);Gilles Peterson's Havana Cultura Band;333147;769;921;5;-7.44;0;46;768;146;344;565;115.012;0
7xCE3ylvLrnbDyt9RR4I13;Afrodisia;Gilles Peterson's Havana Cultura Band;231160;712;579;10;-10.011;0;44;566;865;112;802;97.341;0
7mX9WX5DBWqXXsA5JmyM8D;Mami;Gilles Peterson's Havana Cultura Band;226960;682;686;5;-9.81;0;0.0321;711;864;0.0724;801;119.993;0
3E1tQEmGLsspBT97IBP1OE;Rezando;Gilles Peterson's Havana Cultura Band;286107;422;389;2;-14.017;1;0.0403;725;867;471;199;128.898;1
4xgsx63mG3jHQFknFJfHe9;La Revolución Del Cuerpo;Ogguere;280707;456;706;6;-7.552;0;166;0.0783;0.0;0.0182;959;174.774;1
1g9q2QyYWowuP461EF5ztt;Listos 'Pa La Lucha;Free Hole Negro;203227;0.86;795;5;-4.32;1;126;113;0.0;0.29;522;106.021;0
6J236Mvl9DI2ZVxmRYc7Jt;La Perla Del Son;Wichy de Vedado;319493;824;618;10;-5.208;0;0.0707;162;148;139;702;90.004;1
6HBQTXfVEfMvvvJByK4FWU;Candao Cerrao;Yusa;210947;798;853;7;-4.455;1;143;0.66;0.0;175;679;99.971;0
0nLjX2rGfD18Bi0zj9i7JF;Acompáñanos;Kumar;254893;774;859;4;-7.722;0;128;265;0.0038;597;0.63;145.22;0
0XamfFuOtoOh7Vq7FqXfPL;Me Lastimas;Obsesión;184253;0.77;714;11;-5.625;1;522;0.44;0.0;0.0954;521;94.024;1
1rYEUM7siaPzEGkYUrAMr7;Individual;Danay Suárez;207267;594;654;6;-5.664;0;126;354;0.0;263;538;78.656;0
0cdwPBAkmIzqvnI1vwBcmQ;Pasa El Borrador;Los Aldeanos;388707;477;776;8;-5.628;1;399;334;0.0;286;795;78.342;0
5Cmf9ycNF6r54jsxal1gTv;Amor Internacional;Doble Filo;257107;0.72;829;1;-5.451;1;215;215;0.0;197;921;89.544;0
1aUQJnJz8EENnlyNDxteXt;Por Un Milagro;Cubanito 20.02;218787;783;874;2;-5.213;1;128;0.0274;1.32e-06;91;938;170.137;0
1rJinsgfHxY0PaQCKtrUln;Sentimiento;Francis del Río;257053;576;878;5;-5.433;0;359;195;0.0;0.3;702;104.562;0
2Jjljbb67kAymatVO6MvlH;Que Tú Te Crees (feat. Pepito);Doble Filo;298093;658;656;5;-4.821;0;192;413;0.0;388;629;94.924;0
2fV6SmTqjB6UyeRzh2AcLC;Puñalá;Descemer Bueno;228053;548;869;9;-3.732;0;176;0.75;0.0;0.0615;0.82;96.784;0
5cKsjL4TlwHjobfqGKcj5p;Spiritual Sin Egoísmo;Telmary;242213;467;807;10;-4.208;1;422;254;0.0;0.19;457;169.339;0
3YEosi2PDnQeGqFF3XEB0D;La Jungla;Harold López-Nussa;340573;412;509;0;-10.743;1;0.0398;253;881;122;668;128.456;0
2MIHvCNurgbrxe8xmjOgmd;Hoy;Fiel A La Vega;271381;564;811;10;-6.429;1;0.0371;0.00222;0.0;0.0929;574;112.517;14
2yybKwL3NUKWcdNfMBzgxy;Bogeyman;Dan Griffith;158571;541;556;9;-13.506;0;0.0505;477;413;185;0.48;112.138;14
3spwlmVEUxz7fwau8S38NQ;Que Se Quede Contigo;Flor De Tabaco;208000;892;673;9;-5.156;0;0.0497;492;0.0;0.0991;962;129.975;4
1xX9N76FfVv01kKUMzyfu8;Beso A Beso;Flor De Tabaco;237160;0.86;647;7;-4.981;0;0.0472;195;0.0;0.0687;954;139.954;2
3g61zsCEuzCTl8ZCpbf2sq;Le Nacen Alas;Flor De Tabaco;231800;844;676;2;-5.235;1;0.0419;379;0.0;0.0806;921;135.981;3
7CllLvmYyDfZzsssg18j28;Todos Los Hombres Son Iguales;Flor De Tabaco;219600;876;647;8;-4.953;1;0.0446;222;0.0;0.0777;962;138.026;4
3TpIdkLmWTHcjDSUpfvPA1;Cobarde;Flor De Tabaco;216187;0.87;595;2;-4.995;1;0.0365;109;0.0;192;873;133.981;3
0rWNPIpbuEmktWri0lLcSb;Tu Amor Es Mi Delirio;Flor De Tabaco;238307;774;604;5;-5.286;1;0.0358;122;0.0;0.23;903;139.996;3
1V05iFHI9mpMyH7x8bFed3;Amame Toda La Noche;Flor De Tabaco;231227;849;604;0;-4.813;1;0.0432;364;0.0;107;947;132.963;2
2l3jWVdoweGzkMmnUaagNs;Coraje;Flor De Tabaco;207587;828;641;1;-4.345;0;0.0388;378;0.0;108;768;124.969;2
7ACShaAcpRZn0mH5saz7Eh;Te Amo Tanto, Tanto;Flor De Tabaco;206880;948;641;2;-5.707;1;48;412;0.0;311;963;132.94;2
2MuLKrfJdfNNReAy6ooe1F;Crazy For Your Love;Flor De Tabaco;202067;841;773;0;-5.975;1;0.0463;0.0936;0.0;146;969;135.054;1
2rgYVVNREzDSWBjeCQAWav;Arrepentido;Flor De Tabaco;171307;653;0.82;5;-5.324;0;0.0849;0.0546;6.14e-05;151;571;196.003;3
0H4YGVs0wleQ1Srj0BIeV6;Cobarde - Balada;Flor De Tabaco;246747;309;605;2;-6.122;1;0.0395;622;0.0;0.0913;268;199.883;1
1wKsrUrVoI0wg9DBsxZwYR;Reality - MÖWE Radio Edit;Lost Frequencies;189836;683;729;4;-5.989;1;0.0293;0.00236;4.01e-05;0.0742;501;121.933;11
2urjUjNghAKLfqRAzMnDaz;Reality - Androma Radio Edit;Lost Frequencies;192049;658;811;4;-6.523;1;0.0258;0.00229;0.000503;109;673;122.014;5
6HCKNroWUNCHNRUc9aJe9k;Reality - Hitimpulse Remix;Lost Frequencies;177509;699;557;1;-8.166;0;0.0619;0.0392;2.52e-05;101;0.25;129.98;7
01yKxwsZ36Wi2xo1L3UTnw;Inside Of Me;TG;182000;752;603;10;-8.368;0;0.13;0.0083;0.0;243;253;127.98;14
4He9bNEbK9Au82pcbCZumy;Yüce Dag Basinda;Altin Gün;258316;824;593;5;-8.579;0;0.0485;0.0614;0.00103;0.19;859;111.97;14
4P75LbUsLoVo4vTGGc5F0T;Killas Wit Me;Chv TopSoulja;142272;855;488;8;-10.591;1;473;0.06;0.0;107;0.7;134.667;3
1gi73K175GHsAKBapl2i4D;Petty Ma;Chv TopSoulja;165068;678;754;11;-6.043;1;284;18;0.0;0.16;143;145.237;3
48yPGCUoOqzPhSlOCq07q5;See What I See;Chv TopSoulja;141819;861;575;4;-10.465;1;342;0.00463;0.0;112;484;124.036;8
0DPOGsD9ZvahcORTfaVF2K;Free Gizmo;Chv TopSoulja;180924;711;719;9;-8.559;0;324;0.0272;0.0;0.0597;438;133.021;2
6M7wrJYiDhPVnfgwtYsgXs;1-4 Wards;Chv TopSoulja;146184;0.73;561;1;-7.004;1;315;0.00154;2.08e-05;0.0952;313;135.867;2
7GAa7OFUckt5rIp4BgPf2W;Double R;Chv TopSoulja;169152;706;605;7;-10.323;1;379;195;0.0;123;391;140.043;2
3QMIHDQZNXiXg1Np6fpDs0;Opp Baby Muva;Chv TopSoulja;137012;708;558;1;-8.816;0;273;133;0.0;0.18;162;130.01;2
51UuVaaimd0ibXZYgEhTPl;Drac Bust;Chv TopSoulja;185574;935;579;10;-6.812;0;413;113;0.0;123;505;124.047;2
3UPoQyW8ayT7diGFGIZGhU;We On The Wrong Way;Chv TopSoulja;164258;792;558;8;-7.195;1;0.12;0.0515;4.83e-05;155;225;129.95;1
71Zmfxg2tT6q5DQGNFXjxT;Who We Are;Chv TopSoulja;162952;0.87;0.51;9;-9.125;1;314;0.0879;0.0;0.0754;559;130.028;1
0gBJgfjI7YAGD13YbuLkHB;Off The Top;Chv TopSoulja;124248;815;372;9;-14.909;1;161;785;0.0;175;592;125.013;1
3tfPreRK9759PfF6m91oOD;Solider Flow;Chv TopSoulja;133176;662;547;1;-9.077;1;262;0.000665;0.0;0.0568;0.4;118.649;1
45hFZRhwOTOkjdt8EgWHu0;C4;Chv TopSoulja;170344;827;643;11;-11.035;1;443;135;1.71e-06;356;64;139.955;0
1nw99S1jWc6DROSnLvE7y6;J Dance;Dan Griffith;178000;0.79;942;7;-10.115;1;0.0406;0.0513;902;122;922;120.057;14
