album_name,number_of_artists,artist_followers_total,artist_followers_average,artist_popularity,type,release_date,release_precision,restrictions,total_tracks,total_length_min,avg_popularity,max_popularity,number_of_collabs,Max_popularity_collab,Avg_popularity_collab,number_of_markets,US_market,CA_market,BR_market,CN_market,DE_market,ES_market,SA_market,UK_market,RU_market,MX_markets
BBO,2,29680,14840.0,57.5,album,2022-09-15,day,False,11,22,57.45454545454545,62,5,66,9.6,183,True,True,True,False,True,True,True,False,False,True
Man On The Moon: The End Of Day,1,6122411,6122411.0,81.0,album,2009-09-15,day,False,15,51,49.06666666666666,73,7,90,6.428571428571429,3,True,True,False,False,False,False,False,False,False,True
The Hour Of Reprisal,1,102976,102976.0,49.0,album,2008-09-16,day,False,18,51,0.0,0,14,68,4.857142857142857,0,False,False,False,False,False,False,False,False,False,False
The People's Champ,1,125137,125137.0,47.0,single,2013-02-20,day,False,1,3,11.0,11,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
The Hits Collection Volume One (Deluxe),1,7728824,7728824.0,82.0,compilation,2010-11-22,day,False,19,62,35.36842105263158,53,7,90,10.714285714285714,166,True,True,True,False,True,True,False,False,False,True
Nyc Bitche$,1,122963,122963.0,32.0,single,2013-04-04,day,False,1,3,12.0,12,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
Goblin,1,9841644,9841644.0,83.0,album,2011-05-09,day,False,18,74,0.0,0,10,82,4.6,0,False,False,False,False,False,False,False,False,False,False
CupaTea,1,3044,3044.0,23.0,album,2010-11-11,day,False,21,67,11.476190476190478,37,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
Ill Mind of Hopsin 5 - Single,1,2358022,2358022.0,61.0,single,2012-07-17,day,False,1,4,58.0,58,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
Ill Mind of Hopsin 4,1,2358022,2358022.0,61.0,single,2011-07-18,day,False,1,4,44.0,44,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
Notes From The Underground,1,2179314,2179314.0,68.0,album,2012-01-01,day,False,11,33,48.81818181818181,63,0,0,0.0,180,True,True,True,False,True,True,True,False,False,True
American Tragedy (Deluxe Edition),1,2179314,2179314.0,68.0,album,2011,year,False,18,57,47.833333333333336,65,0,0,0.0,179,True,True,True,False,True,True,True,False,False,True
Wolf,1,9841644,9841644.0,83.0,album,2013-04-01,day,False,18,61,55.72222222222222,72,18,82,3.5555555555555554,183,True,True,True,False,True,True,True,False,False,True
Floats My Boat,1,138312,138312.0,48.0,single,2012-06-25,day,False,1,3,0.0,0,0,0,0.0,0,False,False,False,False,False,False,False,False,False,False
Doris,1,1881919,1881919.0,67.0,album,2013-08-16,day,False,15,37,49.13333333333333,61,12,83,4.5,183,True,True,True,False,True,True,True,False,False,True
Endgame,1,2546088,2546088.0,69.0,album,2011-01-01,day,False,12,37,48.91666666666668,67,0,0,0.0,180,True,True,True,False,True,True,True,False,False,True
The Man With The Iron Fists,1,1639209,1639209.0,0.0,compilation,2012-11-07,day,False,15,52,5.4,16,15,90,5.4,181,False,False,True,False,True,True,True,False,False,True
Illmatic XX,1,3023692,3023692.0,71.0,album,2014-04-15,day,False,20,75,31.9,58,17,60,0.35294117647058826,183,True,True,True,False,True,True,True,False,False,True
Continue (Spotify Version),1,75762,75762.0,45.0,album,2013-04-23,day,False,17,52,0.0,0,0,0,0.0,0,False,False,False,False,False,False,False,False,False,False
Six Degrees,2,1387263,693631.5,63.5,single,2014-06-20,day,False,2,4,0.0,0,1,58,58.0,0,False,False,False,False,False,False,False,False,False,False
2001,1,8281199,8281199.0,78.0,album,1999-11-16,day,False,23,57,55.91304347826088,83,50,90,0.0,182,True,True,True,False,True,True,True,False,False,False
The Predator,1,6216369,6216369.0,73.0,album,1992-11-17,day,False,16,50,41.0,81,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
Doggystyle,1,8877787,8877787.0,82.0,album,1993,year,False,13,46,0.07692307692307693,1,14,75,0.0,0,False,False,False,False,False,False,False,False,False,False
1999,1,2787059,2787059.0,73.0,album,2012-06-12,day,False,15,53,0.0,0,7,52,5.285714285714286,0,False,False,False,False,False,False,False,False,False,False
Enter The Wu-Tang (36 Chambers) [Expanded Edition],1,2521763,2521763.0,66.0,album,1993-11-09,day,False,15,63,55.99999999999999,74,63,70,0.8888888888888888,183,True,True,True,False,True,True,True,False,False,True
2014 Forest Hills Drive,1,18276353,18276353.0,84.0,album,2014-12-09,day,False,13,58,2.923076923076923,19,0,0,0.0,0,False,False,False,False,False,False,False,False,False,False
These Things Happen,1,5106901,5106901.0,74.0,album,2014-06-20,day,False,16,49,47.625,69,10,78,4.3,181,True,True,True,False,True,True,True,False,False,True
Man On The Moon II: The Legend Of Mr. Rager,1,6122411,6122411.0,81.0,album,2010-11-09,day,False,17,53,54.47058823529413,75,9,90,3.888888888888889,182,True,True,True,False,True,True,True,False,False,True
679 (feat. Remy Boyz),1,4375528,4375528.0,68.0,single,2015-06-29,day,False,1,3,73.0,73,1,55,55.0,173,True,True,True,False,True,False,True,False,False,True
Mr. Wonderful,1,729939,729939.0,61.0,album,2015-03-23,day,False,13,43,41.153846153846146,61,7,73,4.0,116,True,True,True,False,True,True,False,False,False,True
Evermore: The Art Of Duality,1,365390,365390.0,49.0,album,2015-09-25,day,False,15,53,0.0,0,0,0,0.0,0,False,False,False,False,False,False,False,False,False,False
Scrublife,1,75762,75762.0,45.0,album,2011-03-15,day,False,14,46,22.28571428571429,37,3,43,1.0,183,True,True,True,False,True,True,True,False,False,True
Ready to Die (The Remaster),1,8202385,8202385.0,76.0,album,1994-09-13,day,False,19,67,56.89473684210525,79,1,70,70.0,181,True,True,True,False,True,True,True,False,False,True
"I Don't Like Shit, I Don't Go Outside: An Album by Earl Sweatshirt",1,1881919,1881919.0,67.0,album,2015-03-23,day,False,10,24,45.8,51,4,67,16.75,183,True,True,True,False,True,True,True,False,False,True
Life After Death (Deluxe Version),1,8202385,8202385.0,76.0,album,1997-03-04,day,False,24,96,0.0,0,10,82,1.6,0,False,False,False,False,False,False,False,False,False,False
Handshakes with Snakes,1,84378,84378.0,48.0,album,2016-06-10,day,False,13,35,15.615384615384617,24,16,64,2.625,183,True,True,True,False,True,True,True,False,False,True
Enter the Circle,1,128802,128802.0,48.0,album,2010-04-30,day,False,7,15,0.0,0,2,5,2.5,0,False,False,False,False,False,False,False,False,False,False
Ready to Die (The Remaster; 2015 Remaster),1,8202385,8202385.0,76.0,album,1994-09-13,day,False,18,64,36.611111111111114,68,0,0,0.0,170,True,True,True,False,True,True,False,False,False,True
iSpy (feat. Lil Yachty),1,1023344,1023344.0,64.0,single,2016-12-02,day,False,1,4,71.0,71,1,77,77.0,183,True,True,True,False,True,True,True,False,False,True
Doubt It,1,1023344,1023344.0,64.0,single,2016-08-19,day,False,1,3,0.0,0,0,0,0.0,0,False,False,False,False,False,False,False,False,False,False
Uber Everywhere,1,1011018,1011018.0,60.0,single,2016-02-26,day,False,1,2,58.0,58,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
Because The Internet,1,9965064,9965064.0,77.0,album,2013-01-01,day,False,19,47,0.0,0,3,76,20.0,0,False,False,False,False,False,False,False,False,False,False
Spooky Language EP,1,32141,32141.0,41.0,single,2012-05-08,day,False,7,20,0.0,0,1,45,45.0,0,False,False,False,False,False,False,False,False,False,False
Old Boy Jon,1,128389,128389.0,43.0,album,2013-02-18,day,False,15,36,0.0,0,7,46,0.7142857142857143,0,False,False,False,False,False,False,False,False,False,False
