album_name,number_of_artists,artist_followers_total,artist_followers_average,artist_popularity,type,release_date,release_precision,restrictions,total_tracks,total_length_min,avg_popularity,max_popularity,number_of_collabs,Max_popularity_collab,Avg_popularity_collab,number_of_markets,US_market,CA_market,BR_market,CN_market,DE_market,ES_market,SA_market,UK_market,RU_market,MX_markets
Running Water,1,39175,39175.0,45.0,album,2005-05-30,day,False,8,24,12.875,37,4,56,0.25,183,True,True,True,False,True,True,True,False,False,True
Love Crimes,1,281783,281783.0,44.0,album,2000-08-22,day,False,14,59,21.071428571428573,58,2,67,33.5,183,True,True,True,False,True,True,True,False,False,True
Alley Oop,1,1505654,1505654.0,74.0,single,2018-12-14,day,False,1,2,0.0,0,1,89,89.0,0,False,False,False,False,False,False,False,False,False,False
Seventeen,1,2087667,2087667.0,70.0,single,2016-12-21,day,False,1,2,39.0,39,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
KRS-One,1,561561,561561.0,53.0,album,1995-10-10,day,False,14,57,26.285714285714278,54,5,69,13.8,180,True,True,True,False,True,True,True,False,False,True
Get Up!,1,637,637.0,11.0,single,2019-09-13,day,False,1,3,1.0,1,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
2000,1,2788235,2788235.0,73.0,album,2022-07-22,day,False,14,46,55.357142857142854,67,6,87,12.833333333333334,183,True,True,True,False,True,True,True,False,False,True
Ghetto Heisman,1,391985,391985.0,47.0,album,2010-09-21,day,False,16,49,0.0,0,7,82,7.428571428571429,0,False,False,False,False,False,False,False,False,False,False
The Eminem Show (Expanded Edition),1,61346473,61346473.0,90.0,album,2022-05-26,day,False,38,135,38.31578947368421,55,11,82,3.6363636363636362,182,True,True,True,False,True,True,True,False,False,True
AT LEAST WE HAVE THIS,1,228274,228274.0,46.0,single,2021-11-26,day,False,4,10,46.0,52,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
Mirrorland,1,737776,737776.0,64.0,album,2019-09-06,day,False,14,48,40.42857142857142,53,5,82,3.0,178,True,True,True,False,True,True,True,False,False,True
GHOST,1,1817004,1817004.0,67.0,single,2018-06-22,day,False,1,2,55.0,55,1,44,44.0,178,True,True,True,False,True,True,True,False,False,True
The Booty Tape,1,2047354,2047354.0,51.0,album,2017-08-04,day,False,10,18,40.5,54,1,81,81.0,183,True,True,True,False,True,True,True,False,False,True
The Essentials,1,6219876,6219876.0,73.0,compilation,2008-01-01,day,False,18,63,25.22222222222222,59,4,82,11.25,183,True,True,True,False,True,True,True,False,False,True
The Best Of N.W.A: The Strength Of Street Knowledge,1,4523819,4523819.0,64.0,compilation,2006-12-26,day,False,17,67,32.58823529411765,65,1,64,64.0,177,True,True,True,False,True,True,True,False,False,True
Smile,1,1260533,1260533.0,68.0,album,2015-01-29,day,False,11,32,53.18181818181819,66,4,75,18.75,183,True,True,True,False,True,True,True,False,False,True
My Own Thing,1,5766325,5766325.0,73.0,single,2018-11-29,day,False,1,3,48.0,48,1,51,51.0,183,True,True,True,False,True,True,True,False,False,True
STREET LIVIN',1,6998462,6998462.0,80.0,single,2018-01-09,day,False,1,3,35.0,35,0,0,0.0,178,True,True,True,False,True,True,True,False,False,True
ZOO,1,4585372,4585372.0,75.0,album,2018-09-07,day,False,14,44,47.35714285714286,69,3,82,20.0,183,True,True,True,False,True,True,True,False,False,True
you deserve better,1,128868,128868.0,55.0,single,2018-08-31,day,False,1,2,58.0,58,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
The Preview,1,394865,394865.0,50.0,album,2010-10-01,day,False,8,21,28.625,60,1,60,60.0,178,False,False,True,False,True,True,True,False,False,True
Friday (Original Motion Picture Soundtrack),1,1640963,1640963.0,0.0,compilation,1995-04-11,day,False,15,55,17.866666666666667,68,17,78,3.6470588235294117,180,True,True,True,False,True,True,True,False,False,True
The Big Picture,1,727900,727900.0,59.0,album,2016-07-15,day,False,16,48,0.0,0,13,78,4.538461538461538,0,False,False,False,False,False,False,False,False,False,False
8701,1,10088228,10088228.0,77.0,album,2001-08-07,day,False,15,49,44.60000000000001,70,1,71,71.0,183,True,True,True,False,True,True,True,False,False,True
bloom,1,4854570,4854570.0,79.0,album,2017-05-12,day,False,13,41,42.38461538461539,71,6,80,13.333333333333334,182,True,True,True,False,True,True,True,False,False,True
Take Me to Your Leader,1,124926,124926.0,47.0,album,2012-03-27,day,False,19,59,9.631578947368423,33,7,68,3.4285714285714284,181,False,False,True,False,True,True,True,False,False,True
Drama,2,356258,178129.0,53.5,single,2020-10-30,day,False,1,2,22.0,22,0,0,0.0,0,False,False,False,False,False,False,False,False,False,False
It Wasn't Even Close,1,68057,68057.0,46.0,album,2019-04-19,day,False,13,34,18.923076923076923,35,6,52,8.666666666666666,183,True,True,True,False,True,True,True,False,False,True
Life Is Beautiful,1,57727,57727.0,49.0,album,2019-08-23,day,False,8,21,34.375,47,23,73,0.6521739130434783,183,True,True,True,False,True,True,True,False,False,True
The Essential Aerosmith,1,12732340,12732340.0,75.0,compilation,2002,year,False,30,118,0.0,0,1,60,60.0,0,False,False,False,False,False,False,False,False,False,False
Who Is Mike Jones?,1,495089,495089.0,58.0,album,2005-04-19,day,False,15,47,31.93333333333333,66,13,59,0.46153846153846156,181,True,True,True,False,True,True,True,False,False,True
CALL ME IF YOU GET LOST,1,9847933,9847933.0,83.0,album,2021-06-25,day,False,16,44,64.625,76,12,85,6.583333333333333,183,True,True,True,False,True,True,True,False,False,True
Lil Black Jean Jacket 3,1,248145,248145.0,59.0,album,2022-05-11,day,False,16,35,36.8125,65,13,80,3.230769230769231,183,True,True,True,False,True,True,True,False,False,True
Jazzmatazz Volume 1,1,204721,204721.0,50.0,album,1993-01-01,day,False,12,37,41.91666666666666,56,12,51,2.25,183,True,True,True,False,True,True,True,False,False,True
Dinner Party: Dessert,3,678135,226045.0,56.33333333333333,album,2020-10-09,day,False,7,18,40.714285714285715,54,28,82,1.9642857142857142,183,True,True,True,False,True,True,True,False,False,True
JAMIE,1,659194,659194.0,72.0,album,2022-07-22,day,False,10,22,63.300000000000004,76,0,0,0.0,182,True,True,True,False,True,True,True,False,False,True
I Care 4 U,1,3502052,3502052.0,65.0,album,2002,year,False,14,51,30.142857142857146,56,0,0,0.0,12,False,False,False,False,True,False,False,False,False,False
Lords of Flatbush 3,1,365455,365455.0,49.0,album,2019-06-21,day,False,9,22,0.0,0,0,0,0.0,0,False,False,False,False,False,False,False,False,False,False
Aguardiente,2,41617,20808.5,37.5,album,2018-03-06,day,False,12,40,8.916666666666666,22,5,62,3.8,183,True,True,True,False,True,True,True,False,False,True
Watch Out,1,7468073,7468073.0,75.0,single,2015-07-22,day,False,1,3,54.0,54,0,0,0.0,180,True,True,True,False,True,True,True,False,False,True
Man On The Moon III: The Chosen,1,6124157,6124157.0,81.0,album,2020-12-11,day,False,18,49,57.50000000000001,72,4,82,20.25,183,True,True,True,False,True,True,True,False,False,True
