album_name,number_of_artists,artist_followers_total,artist_followers_average,artist_popularity,type,release_date,release_precision,restrictions,total_tracks,total_length_min,avg_popularity,max_popularity,number_of_collabs,Max_popularity_collab,Avg_popularity_collab,number_of_markets,US_market,CA_market,BR_market,CN_market,DE_market,ES_market,SA_market,UK_market,RU_market,MX_markets
Evolution,1,277669,277669.0,53.0,album,2013-06-25,day,False,12,38,0.0,0,12,50,1.1666666666666667,0,False,False,False,False,False,False,False,False,False,False
The Marshall Mathers LP2,1,61390756,61390756.0,90.0,album,2013-11-05,day,False,16,71,0.0,0,4,88,15.75,0,False,False,False,False,False,False,False,False,False,False
The R.E.D. Album,1,4258595,4258595.0,72.0,album,2011-01-01,day,False,21,62,30.14285714285714,62,22,96,3.5454545454545454,180,True,True,True,False,True,True,True,False,False,True
Jesus Is The One (I Got Depression),2,259346,129673.0,57.0,single,2019-06-14,day,False,1,1,54.0,54,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
The Master,1,751398,751398.0,56.0,album,1999-01-01,day,False,17,56,31.411764705882348,64,4,40,2.25,88,True,True,True,False,True,True,True,False,False,True
Mask Up,2,7484275,3742137.5,58.5,single,2022-09-30,day,False,1,2,53.0,53,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
Best of Old Skool Hip Hop,1,1642710,1642710.0,0.0,compilation,2003-07-01,day,False,46,282,0.0,0,46,70,0.0,0,False,False,False,False,False,False,False,False,False,False
Punken,1,419910,419910.0,57.0,album,2018-01-12,day,False,14,37,27.999999999999996,47,3,81,21.0,0,False,False,False,False,False,False,False,False,False,False
#SantanaWorld (+),1,2986984,2986984.0,66.0,album,2017-12-14,day,False,10,17,64.3,72,5,91,11.4,183,True,True,True,False,True,True,True,False,False,True
Sonder Son,1,2907308,2907308.0,80.0,album,2017-10-13,day,False,12,35,56.25000000000001,67,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
Madvillainy 2: The Madlib Remix,3,2469836,823278.6666666666,68.66666666666667,album,2008-09-30,day,False,25,41,28.92,53,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
Point to Point (feat. Quelle Chris),2,44240,22120.0,33.0,single,2021-04-06,day,False,1,3,6.0,6,1,42,42.0,183,True,True,True,False,True,True,True,False,False,True
When Smoke Rises,1,54325,54325.0,40.0,album,2021-05-28,day,False,8,21,38.125,48,1,63,63.0,182,True,False,True,False,True,True,True,False,False,True
